上市公司代码()_ComCd,最新公司全称_LComNm,最新公司英文名称_LComNm_eng,A股股票简称_A_LStkNm,A股股票代码_A_StkCd,主营业务_MainBusiness,证监会行业门类名称_CsrcIcNm1,省份与直辖市名称_Prov
C600354,甘肃省敦煌种业股份有限公司,"Gansu Dunhuang Seed Co.,Ltd.",敦煌种业,600354,粮食、瓜类、蔬菜、花卉、甜菜、油料、牧草、棉花等农作物种子引进、选育、繁殖、生产、加工、储藏；农副产品的收购、加工、批发零售；农业技术开发、咨询服务；棉花的收购、加工和储藏（限六个分支机构经营）；果树、桑树种植；出口本企业自产的瓜、菜、花卉、牧草等经济、农作物种籽、亲本资源材料及种子加工设备等、进口本企业生产所需原辅材料、仪器仪表、机械设备、零配件等（国家限定的除外）；房地产开发及商品房销售；投资管理及咨询。,农、林、牧、渔业,甘肃
C600355,精伦电子股份有限公司,"Routon Electronic Co.,Ltd.",精伦电子,600355,电子、通信、仪器仪表、电机和电子电工机械专用设备的研发、制造、销售、技术服务和技术推广（含税控设备、居民身份证读卡机具、彩票机具、IC卡读写设备、智能监控产品、电力系统自动化设备和软件、电子交易终端设备和软件、商用密码产品【凭合法有效许可证经营】）；经营货物进出口、技术进出口（国家限制经营的货物和技术除外）。,制造业,湖北
C600356,牡丹江恒丰纸业股份有限公司,"Mudanjiang Hengfeng Paper Co.,Ltd.",恒丰纸业,600356,纸、纸浆和纸制品的制造、销售；造纸原辅料生产、销售及技术开发；制浆、造纸工艺设计和技术服务，造纸机械设备的加工、安装和维修；经营公司自产产品及技术的出口业务；经营公司生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务。,制造业,黑龙江
C600357,承德新新钒钛股份有限公司,Chengde Xinxin Vanadium And Titanium Company Limited,承德钒钛,600357,"钒渣、钒铁合金、钛精矿、高钛渣、金红石、合金铁粉、含钒低合金及普通带钢、圆钢、钢筋混凝土用热轧带肋钢筋、钢坯的生产、销售；钒钛系列高科技产品的开发、研制、生产和销售；本企业自产产品及相关技术的出口；本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口；经营本企业的进料加工和“三来一补”业务；氧化钒、钒氮合金、钛黄粉、线材、人造富矿(烧结矿、烧结球),蒸气、压缩空气、工业用高炉煤气的制造和销售；自动化及仪表工程设计安装、工程技术咨询、机械设备维修；产品检验化验、检斤计量服务；矿?",制造业,河北
C600358,国旅联合股份有限公司,China United Travel Company Limited,*ST联合,600358,旅游产业投资，旅游信息咨询服务，酒店管理及度假区管理咨询，投资咨询，国内贸易，旅游电子商务，实物租赁，实业投资，股权投资和股权投资管理。,社会服务业,江苏
C600359,新疆塔里木农业综合开发股份有限公司,"Xinjiang Talimu Agriculture Development Co.,Ltd.",新农开发,600359,农业种植；牧渔养殖；农产品、畜产品的生产、加工及销售；种子及种衣剂的生产及销售；农业机械制造及修理；塑料制品、皮革制品的销售；汽车运输；自营和代理各类商品和技术的进出口业务(国家限定公司经营或禁止进出口的商品和技术除外。,农、林、牧、渔业,新疆
C600360,吉林华微电子股份有限公司,"Jilin Sino-microelectronics Co., ltd",华微电子,600360,半导体分立器件、集成电路、电力电子产品、汽车电子产品、自动化仪表、电子元件、应用软件的设计、开发、制造与销售；经营本公司自产产品及相关技术的出口业务，经营本公司生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进出口业务，经营本公司的进料加工和“三来一补”业务；氢气、氧气、氮气、压缩空气的制造与销售。,制造业,吉林省
C600361,北京华联综合超市股份有限公司,"Beijinghualian  Hypermarket  Co., ltd",华联综超,600361,    许可经营项目：销售医疗器材、包装食品、包装饮料、酒；中餐（含制售主食、西食制品）；西餐；零售、邮购公开发行的国内版书刊；零售烟；以下项目限分支机构经营：销售生鲜蔬果、粮油食品、副食品、定型包装食品（含乳冷食品）、散装直接入口食品、散装非直接入口食品、熟食制品、水产、鲜肉、禽蛋、茶叶、腐蚀品、次氯酸钠溶液；零售乳制品（含婴幼儿配方乳粉）、预包装食品、避孕器械、音像制品；现场制售：主食（油炸食品、米面制品）、肉制品、熟食制品、焙烤食品、烤鸡、烤鸭、寿司、中西糕点（含裱花蛋糕）及面包、豆制品、豆腐,批发和零售贸易,北京
C600362,江西铜业股份有限公司,"Jiangxi Copper Co., Ltd",江西铜业,600362,    有色金属、稀贵金属采、选、冶炼、加工及相关技术服务；有色金属矿、稀贵金属、非金属矿、有色金属及相关副产品的冶炼、压延加工与深加工；与上述业务相关的硫化工及其延伸产品、精细化工产品；选矿药剂、橡胶制品；永久性气体的生产和加工；自产产品的销售及售后服务、相关的咨询服务和业务；矿山、冶金工程设计与施工；爆破、岩土边坡、测量与涵、隧道工程；地质勘查与施工；建筑工程施工总承包；建筑安装维修工程；机电、土木建筑维修与装潢；合金耐磨产品铸造；矿山、冶炼专用设备制造、加工、安装、维修与销售；涂装、保温、防腐,制造业,江西
C600363,江西联创光电科技股份有限公司,"Jiangxi Lianchuang Optoelectronic Science And Technology Co., ltd",联创光电,600363,"经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品除外）；经营进料加工和""三来一补""业务；光电子元器件、半导体照明光源及控制系统、LED 显示屏、光电通信线缆、电力电缆、继电器、通信终端与信息系统设备、其它电子产品、计算机的生产、销售；光电显示及控制系统的设计与安装，合同能源管理、系统节能工程、节能服务、太阳能及风力发电设备、网络及工业自动化工程及安装、亮化工程、智能建筑、安防监控系统工程，计算机应用服务",制造业,江西
